Product,Status,Release Date,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),TDP(W),Cache Info,Integrated Graphics
Core i7-7740X X Series,Discontinued,Q2'17,4,8,14,4.50,4.30,112,8,N/A,N/A
Core i5-7640X X Series,Discontinued,Q2'17,4,4,14,4.20,4.00,112,6,N/A,N/A
Core i7-7800X X Series,Discontinued,Q2'17,6,12,14,4.00,3.50,140,8.25,L3 Cache,N/A
Core i9-7900X X Series,Discontinued,Q2'17,10,20,14,4.30,3.30,140,13.75,L3 Cache,N/A
Core i7-7820X X Series,Discontinued,Q2'17,8,16,14,4.30,3.60,140,11,L3 Cache,N/A
Core i9-7920X X Series,Discontinued,Q3'17,12,24,14,4.30,2.90,140,16.5,L3 Cache,N/A
Core i9-7940X X Series,Discontinued,Q3'17,14,28,N/A,4.30,3.10,165,19.25,N/A,N/A
Core i9-7960X X Series,Discontinued,Q3'17,16,32,N/A,4.20,2.80,165,22,N/A,N/A
Core i9-7980XE Extreme Edition,Discontinued,Q3'17,18,36,N/A,4.20,2.60,165,24.75,N/A,N/A
Core i9-9820X X Series,Discontinued,Q4'18,10,20,14,4.10,3.30,165,16.5,Intel Smart Cache,N/A
Core i7-9800X X Series,Discontinued,Q4'18,8,16,14,4.40,3.80,165,16.5,Intel Smart Cache,N/A
Core i9-9960X X Series,Discontinued,Q4'18,16,32,14,4.40,3.10,165,22,Intel Smart Cache,N/A
Core i9-9900X X Series,Discontinued,Q4'18,10,20,14,4.40,3.50,165,19.25,Intel Smart Cache,N/A
Core i9-9940X X Series,Discontinued,Q4'18,14,28,14,4.40,3.30,165,19.25,Intel Smart Cache,N/A
Core i9-9980XE Extreme Edition,Discontinued,Q4'18,18,36,14,4.40,3.00,165,24.75,Intel Smart Cache,N/A
Core i9-9920X X Series,Discontinued,Q4'18,12,24,14,4.40,3.50,165,19.25,Intel Smart Cache,N/A
Core i9-10920X X Series,Launched,Q4'19,12,24,14,4.60,3.50,165,19.25,Intel Smart Cache,N/A
Core i9-10940X X Series,Launched,Q4'19,14,28,14,4.60,3.30,165,19.25,Intel Smart Cache,N/A
Core i9-10980XE Extreme Edition,Launched,Q4'19,18,36,14,4.60,3.00,165,24.75,Intel Smart Cache,N/A
Core i9-10900X X Series,Launched,Q4'19,10,20,14,4.50,3.70,165,19.25,Intel Smart Cache,N/A
Core i7-3960X Extreme Edition,Discontinued,Q4'11,6,12,32,3.90,3.30,130,15,Intel Smart Cache,N/A
Core i7-3930K,Discontinued,Q4'11,6,12,32,3.80,3.20,130,12,Intel Smart Cache,N/A
Core i7-3820,Discontinued,Q1'12,4,8,32,3.80,3.60,130,10,Intel Smart Cache,N/A
Core i7-3920XM Extreme Edition,Discontinued,Q2'12,4,8,22,3.80,2.90,55,8,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3970X Extreme Edition,Discontinued,Q4'12,6,12,32,4.00,3.50,150,15,Intel Smart Cache,N/A
Core i7-3940XM Extreme Edition,Discontinued,Q3'12,4,8,22,3.90,3.00,55,8,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-4930MX Extreme Edition,Discontinued,Q2'13,4,8,22,3.90,3.00,57,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4960X Extreme Edition,Discontinued,Q3'13,6,12,22,4.00,3.60,130,15,Intel Smart Cache,N/A
Core i7-4930K,Discontinued,Q3'13,6,12,22,3.90,3.40,130,12,Intel Smart Cache,N/A
Core i7-4820K,Discontinued,Q3'13,4,8,22,3.90,3.70,130,10,Intel Smart Cache,N/A
Core i7-4940MX Extreme Edition,Discontinued,Q1'14,4,8,22,4.00,3.10,57,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-5960X Extreme Edition,Discontinued,Q3'14,8,16,22,3.50,3.00,140,20,Intel Smart Cache,N/A
Core i7-5930K,Discontinued,Q3'14,6,12,22,3.70,3.50,140,15,Intel Smart Cache,N/A
Core i7-5820K,Discontinued,Q3'14,6,12,22,3.60,3.30,140,15,Intel Smart Cache,N/A
Core i7-6850K,Discontinued,Q2'16,6,12,14,3.80,3.60,140,15,N/A,N/A
Core i7-6800K,Discontinued,Q2'16,6,12,14,3.60,3.40,140,15,Intel Smart Cache,N/A
Core i7-6900K,Discontinued,Q2'16,8,16,14,3.70,3.20,140,20,N/A,N/A
Core i7-6950X Extreme Edition,Discontinued,Q2'16,10,20,14,3.50,3.00,140,25,N/A,N/A
Core i5-L16G7,Launched,Q2'20,5,5,10,3.00,1.40,7,4,N/A,Intel UHD Graphics
Core i3-L13G4,Launched,Q2'20,5,5,10,2.80,0.80,7,4,N/A,Intel UHD Graphics
Core i9-12900K,Launched,Q4'21,16,24,7,5.20,3.20,125,30,Intel Smart Cache,Intel UHD Graphics 770
Core i9-12900KF,Launched,Q4'21,16,24,7,5.20,3.20,125,30,Intel Smart Cache,N/A
Core i9-11900,Launched,Q1'21,8,16,14,5.20,2.50,65,16,Intel Smart Cache,Intel UHD Graphics 750
Core i9-11900F,Launched,Q1'21,8,16,14,5.20,2.50,65,16,Intel Smart Cache,N/A
Core i9-11900T,Launched,Q1'21,8,16,14,4.90,1.50,35,16,Intel Smart Cache,Intel UHD Graphics 750
Core i9-11900KF,Launched,Q1'21,8,16,14,5.30,3.50,125,16,Intel Smart Cache,N/A
Core i9-11900K,Launched,Q1'21,8,16,14,5.30,3.50,125,16,Intel Smart Cache,Intel UHD Graphics 750
Core i9-11950H,Launched,Q2'21,8,16,10,5.00,N/A,N/A,24,Intel Smart Cache,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i9-11980HK,Launched,Q2'21,8,16,10,5.00,N/A,N/A,24,Intel Smart Cache,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i9-11900H,Launched,Q2'21,8,16,10,4.90,N/A,N/A,24,Intel Smart Cache,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i9-10900T,Launched,Q2'20,10,20,14,4.60,1.90,35,20,Intel Smart Cache,Intel UHD 630 Graphics
Core i9-10900,Launched,Q2'20,10,20,14,5.20,2.80,65,20,Intel Smart Cache,Intel UHD 630 Graphics
Core i9-10900F,Launched,Q2'20,10,20,14,5.20,2.80,65,20,Intel Smart Cache,N/A
Core i9-10900KF,Launched,Q2'20,10,20,14,5.30,3.70,125,20,Intel Smart Cache,N/A
Core i9-10900K,Launched,Q2'20,10,20,14,5.30,3.70,125,20,Intel Smart Cache,Intel UHD 630 Graphics
Core i9-10980HK,Launched,Q2'20,8,16,14,5.30,2.40,45,16,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i9-10885H,Launched,Q2'20,8,16,14,5.30,2.40,45,16,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i9-10900TE,Launched,Q2'20,10,20,14,4.50,1.80,35,20,Intel Smart Cache,Intel UHD 630 Graphics
Core i9-10900E,Launched,Q2'20,10,20,14,4.70,2.80,65,20,Intel Smart Cache,Intel UHD 630 Graphics
Core i9-10850K,Launched,Q3'20,10,20,14,5.20,3.60,125,20,Intel Smart Cache,Intel UHD 630 Graphics
Core i9-9900K,Launched,Q4'18,8,16,14,5.00,3.60,95,16,Intel Smart Cache,Intel UHD 630 Graphics
Core i9-9900KF,Launched,Q1'19,8,16,14,5.00,3.60,95,16,Intel Smart Cache,N/A
Core i9-9900T,Launched,Q2'19,8,16,14,4.40,2.10,35,16,Intel Smart Cache,Intel UHD 630 Graphics
Core i9-9900,Launched,Q2'19,8,16,14,5.00,3.10,65,16,Intel Smart Cache,Intel UHD 630 Graphics
Core i9-9900KS,Discontinued,Q4'19,8,16,14,5.00,4.00,127,16,Intel Smart Cache,Intel UHD 630 Graphics
Core i9-9880H,Launched,Q2'19,8,16,14,4.80,2.30,45,16,Intel Smart Cache,Intel UHD 630 Graphics
Core i9-9980HK,Launched,Q2'19,8,16,14,5.00,2.40,45,16,Intel Smart Cache,Intel UHD 630 Graphics
Core i9-8950HK,Launched,Q2'18,6,12,14,4.80,2.90,45,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-12700K,Launched,Q4'21,12,20,7,5.00,3.60,125,25,Intel Smart Cache,Intel UHD Graphics 770
Core i7-12700KF,Launched,Q4'21,12,20,7,5.00,3.60,125,25,Intel Smart Cache,N/A
Core i7-11370H,Launched,Q1'21,4,8,10,4.80,N/A,N/A,12,Intel Smart Cache,Intel Iris Xe Graphics
Core i7-11375H,Launched,Q1'21,4,8,10,5.00,N/A,N/A,12,Intel Smart Cache,Intel Iris Xe Graphics
Core i7-1185G7E,Launched,Q3'20,4,8,10,4.40,1.80,N/A,12,Intel Smart Cache,Intel Iris Xe Graphics
Core i7-1185GRE,Launched,Q3'20,4,8,10,4.40,1.80,N/A,12,Intel Smart Cache,Intel Iris Xe Graphics
Core i7-1160G7,Launched,Q3'20,4,8,10,4.40,N/A,N/A,12,Intel Smart Cache,Intel Iris Xe Graphics
Core i7-1165G7,Launched,Q3'20,4,8,10,4.70,N/A,N/A,12,Intel Smart Cache,Intel Iris Xe Graphics
Core i7-1180G7,Launched,Q1'21,4,8,10,4.60,N/A,N/A,12,Intel Smart Cache,Intel Iris Xe Graphics
Core i7-1185G7,Launched,Q3'20,4,8,10,4.80,N/A,N/A,12,Intel Smart Cache,Intel Iris Xe Graphics
Core i7-1165G7 (with IPU),Launched,Q3'20,4,8,10,4.70,N/A,N/A,12,Intel Smart Cache,Intel Iris Xe Graphics
Core i7-11700K,Launched,Q1'21,8,16,14,5.00,3.60,125,16,Intel Smart Cache,Intel UHD Graphics 750
Core i7-11700KF,Launched,Q1'21,8,16,14,5.00,3.60,125,16,Intel Smart Cache,N/A
Core i7-11700T,Launched,Q1'21,8,16,14,4.60,1.40,35,16,Intel Smart Cache,Intel UHD Graphics 750
Core i7-11700,Launched,Q1'21,8,16,14,4.90,2.50,65,16,Intel Smart Cache,Intel UHD Graphics 750
Core i7-11700F,Launched,Q1'21,8,16,14,4.90,2.50,65,16,Intel Smart Cache,N/A
Core i7-11850H,Launched,Q2'21,8,16,10,4.80,N/A,N/A,24,Intel Smart Cache,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i7-11600H,Launched,Q3'21,6,12,10,4.60,N/A,N/A,18,Intel Smart Cache,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i7-11800H,Launched,Q2'21,8,16,10,4.60,N/A,N/A,24,Intel Smart Cache,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i7-1195G7 (with IPU),Launched,Q2'21,4,8,10,5.00,N/A,N/A,12,Intel Smart Cache,Intel Iris Xe Graphics eligible
Core i7-11390H,Launched,Q2'21,4,8,10,5.00,N/A,N/A,12,Intel Smart Cache,Intel Iris Xe Graphics eligible
Core i7-1195G7,Launched,Q2'21,4,8,10,5.00,N/A,N/A,12,Intel Smart Cache,Intel Iris Xe Graphics eligible
Core i7-11850HE,Launched,Q3'21,8,16,10,4.70,N/A,N/A,24,Intel Smart Cache,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i7-10710U,Launched,Q3'19,6,12,14,4.70,1.10,15,12,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i7-10510U,Launched,Q3'19,4,8,14,4.90,1.80,15,8,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i7-10510Y,Launched,Q3'19,4,8,14,4.50,1.20,7,8,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i7-1068NG7,Launched,Q2'20,4,8,10,4.10,2.30,28,8,Intel Smart Cache,Intel Iris Plus Graphics
Core i7-1065G7,Launched,Q3'19,4,8,10,3.90,1.30,15,8,Intel Smart Cache,Intel Iris Plus Graphics
Core i7-1060G7,Launched,Q3'19,4,8,10,3.80,1.00,9,8,Intel Smart Cache,Intel Iris Plus Graphics
Core i7-10700T,Launched,Q2'20,8,16,14,4.50,2.00,35,16,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-10700,Launched,Q2'20,8,16,14,4.80,2.90,65,16,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-10700F,Launched,Q2'20,8,16,14,4.80,2.90,65,16,Intel Smart Cache,N/A
Core i7-10700KF,Launched,Q2'20,8,16,14,5.10,3.80,125,16,Intel Smart Cache,N/A
Core i7-10700K,Launched,Q2'20,8,16,14,5.10,3.80,125,16,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-10750H,Launched,Q2'20,6,12,14,5.00,2.60,45,12,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i7-10810U,Launched,Q2'20,6,12,14,4.90,1.10,15,12,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i7-10610U,Launched,Q2'20,4,8,14,4.90,1.80,15,8,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i7-10850H,Launched,Q2'20,6,12,14,5.10,2.70,45,12,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i7-10875H,Launched,Q2'20,8,16,14,5.10,2.30,45,16,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i7-10700TE,Launched,Q2'20,8,16,14,4.40,2.00,35,16,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-10700E,Launched,Q2'20,8,16,14,4.50,2.90,65,16,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-10870H,Launched,Q3'20,8,16,14,5.00,2.20,45,16,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i7-9700K,Launched,Q4'18,8,8,14,4.90,3.60,95,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-9700KF,Launched,Q1'19,8,8,14,4.90,3.60,95,12,Intel Smart Cache,N/A
Core i7-9750H,Launched,Q2'19,6,12,14,4.50,2.60,45,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-9750HF,Launched,Q2'19,6,12,14,4.50,2.60,45,12,Intel Smart Cache,N/A
Core i7-9850H,Launched,Q2'19,6,12,14,4.60,2.60,45,12,N/A,Intel UHD 630 Graphics
Core i7-9700T,Launched,Q2'19,8,8,14,4.30,2.00,35,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-9700,Launched,Q2'19,8,8,14,4.70,3.00,65,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-9700F,Launched,Q2'19,8,8,14,4.70,3.00,65,12,Intel Smart Cache,N/A
Core i7-9700E,Launched,Q2'19,8,8,14,4.40,2.60,65,12,N/A,Intel UHD 630 Graphics
Core i7-9850HE,Launched,Q2'19,6,12,14,4.40,2.70,45,9,N/A,Intel UHD 630 Graphics
Core i7-9700TE,Launched,Q2'19,8,8,14,3.80,1.80,35,12,N/A,Intel UHD 630 Graphics
Core i7-9850HL,Launched,Q2'19,6,12,14,4.10,1.90,25,9,N/A,Intel UHD 630 Graphics
Core i7-8550U,Launched,Q3'17,4,8,14,4.00,1.80,15,8,Intel Smart Cache,Intel UHD 620 Graphics
Core i7-8650U,Launched,Q3'17,4,8,14,4.20,1.90,15,8,Intel Smart Cache,Intel UHD 620 Graphics
Core i7-8700K,Discontinued,Q4'17,6,12,14,4.70,3.70,95,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-8700,Launched,Q4'17,6,12,14,4.60,3.20,65,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-8700T,Launched,Q2'18,6,12,14,4.00,2.40,35,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-8706G with Radeon RX Vega M GL Graphics,Launched,Q1'18,4,8,14,4.10,3.10,N/A,8,N/A,Intel HD 630 Graphics
Core i7-8709G with Radeon RX Vega M GH Graphics,Discontinued,Q1'18,4,8,14,4.10,3.10,N/A,8,N/A,Intel HD 630 Graphics
Core i7-8809G with Radeon RX Vega M GH Graphics,Discontinued,Q1'18,4,8,14,4.20,3.10,N/A,8,N/A,Intel HD 630 Graphics
Core i7-8705G with Radeon RX Vega M GL Graphics,Discontinued,Q1'18,4,8,14,4.10,3.10,N/A,8,N/A,Intel HD 630 Graphics
Core i7-8850H,Launched,Q2'18,6,12,14,4.30,2.60,45,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-8700B,Launched,Q2'18,6,12,14,4.60,3.20,65,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-8750H,Launched,Q2'18,6,12,14,4.10,2.20,45,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-8559U,Launched,Q2'18,4,8,14,4.50,2.70,28,8,Intel Smart Cache,Intel Iris Plus Graphics 655
Core i7+8700 Includes Intel Optane Memory,Launched,Q2'18,6,12,14,4.60,3.20,65,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-8086K,Launched,Q2'18,6,12,14,5.00,4.00,95,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i7-8706G with Radeon Pro WX Vega M GL Graphics,Discontinued,Q3'18,4,8,14,4.10,3.10,N/A,8,N/A,Intel HD 630 Graphics
Core i7-8565U,Launched,Q3'18,4,8,14,4.60,1.80,15,8,Intel Smart Cache,Intel UHD Graphics for 8th Generation Intel Core Processors
Core i7-8500Y,Launched,Q1'19,2,4,14,4.20,1.50,5,4,Intel Smart Cache,Intel UHD 615 Graphics
Core i7-8569U,Launched,Q2'19,4,8,14,4.70,2.80,28,8,Intel Smart Cache,Intel Iris Plus Graphics 655
Core i7-8557U,Launched,Q3'19,4,8,14,4.50,1.70,15,8,Intel Smart Cache,Intel Iris Plus Graphics 645
Core i7-8665UE,Launched,Q2'19,4,8,14,4.40,1.70,15,8,Intel Smart Cache,Intel UHD 620 Graphics
Core i7-8665U,Launched,Q2'19,4,8,14,4.80,1.90,15,8,Intel Smart Cache,Intel UHD Graphics for 8th Generation Intel Core Processors
Core i7-7Y75,Launched,Q3'16,2,4,14,3.60,1.30,4.5,4,Intel Smart Cache,Intel HD 615 Graphics
Core i7-7500U,Launched,Q3'16,2,4,14,3.50,2.70,15,4,Intel Smart Cache,Intel HD 620 Graphics
Core i7-7700T,Launched,Q1'17,4,8,14,3.80,2.90,35,8,Intel Smart Cache,Intel HD 630 Graphics
Core i7-7820EQ,Launched,Q1'17,4,8,14,3.70,3.00,45,8,N/A,Intel HD 630 Graphics
Core i7-7700,Launched,Q1'17,4,8,14,4.20,3.60,65,8,Intel Smart Cache,Intel HD 630 Graphics
Core i7-7700K,Discontinued,Q1'17,4,8,14,4.50,4.20,91,8,Intel Smart Cache,Intel HD 630 Graphics
Core i7-7700HQ,Launched,Q1'17,4,8,14,3.80,2.80,45,6,N/A,Intel HD 630 Graphics
Core i7-7920HQ,Launched,Q1'17,4,8,14,4.10,3.10,45,8,N/A,Intel HD 630 Graphics
Core i7-7820HK,Launched,Q1'17,4,8,14,3.90,2.90,45,8,N/A,Intel HD 630 Graphics
Core i7-7600U,Launched,Q1'17,2,4,14,3.90,2.80,15,4,Intel Smart Cache,Intel HD 620 Graphics
Core i7-7820HQ,Launched,Q1'17,4,8,14,3.90,2.90,45,8,N/A,Intel HD 630 Graphics
Core i7-7660U,Launched,Q1'17,2,4,14,4.00,2.50,15,4,N/A,Intel Iris Plus 640 Graphics
Core i7-7560U,Launched,Q1'17,2,4,14,3.80,2.40,15,4,N/A,Intel Iris Plus 640 Graphics
Core i7-7567U,Launched,Q1'17,2,4,14,4.00,3.50,28,4,N/A,Intel Iris Plus 650 Graphics
Core i7-6600U,Launched,Q3'15,2,4,14,3.40,2.60,15,4,Intel Smart Cache,Intel HD 520 Graphics
Core i7-6500U,Discontinued,Q3'15,2,4,14,3.10,2.50,15,4,Intel Smart Cache,Intel HD 520 Graphics
Core i7-6700K,Discontinued,Q3'15,4,8,14,4.20,4.00,91,8,Intel Smart Cache,Intel HD 530 Graphics
Core i7-6700,Launched,Q3'15,4,8,14,4.00,3.40,65,8,Intel Smart Cache,Intel HD 530 Graphics
Core i7-6700T,Launched,Q3'15,4,8,14,3.60,2.80,35,8,Intel Smart Cache,Intel HD 530 Graphics
Core i7-6700TE,Launched,Q4'15,4,8,14,3.40,2.40,35,8,Intel Smart Cache,Intel HD 530 Graphics
Core i7-6700HQ,Discontinued,Q3'15,4,8,14,3.50,2.60,45,6,Intel Smart Cache,Intel HD 530 Graphics
Core i7-6820HK,Discontinued,Q3'15,4,8,14,3.60,2.70,45,8,Intel Smart Cache,Intel HD 530 Graphics
Core i7-6820HQ,Discontinued,Q3'15,4,8,14,3.60,2.70,45,8,Intel Smart Cache,Intel HD 530 Graphics
Core i7-6920HQ,Discontinued,Q3'15,4,8,14,3.80,2.90,45,8,Intel Smart Cache,Intel HD 530 Graphics
Core i7-6820EQ,Launched,Q4'15,4,8,14,3.50,2.80,45,8,Intel Smart Cache,Intel HD 530 Graphics
Core i7-6822EQ,Launched,Q4'15,4,8,14,2.80,2.00,25,8,Intel Smart Cache,Intel HD 530 Graphics
Core i7-6560U,Discontinued,Q3'15,2,4,14,3.20,2.20,15,4,Intel Smart Cache,Intel Iris 540 Graphics
Core i7-6567U,Discontinued,Q3'15,2,4,14,3.60,3.30,28,4,Intel Smart Cache,Intel Iris 550 Graphics
Core i7-6660U,Discontinued,Q1'16,2,4,14,3.40,2.40,15,4,Intel Smart Cache,Intel Iris 540 Graphics
Core i7-6650U,Discontinued,Q3'15,2,4,14,3.40,2.20,15,4,Intel Smart Cache,Intel Iris 540 Graphics
Core i7-6970HQ,Discontinued,Q1'16,4,8,14,3.70,2.80,45,8,Intel Smart Cache,Intel Iris Pro 580 Graphics
Core i7-6785R,Discontinued,Q2'16,4,8,14,3.90,3.30,65,8,N/A,Intel Iris Pro 580 Graphics
Core i7-6870HQ,Discontinued,Q1'16,4,8,14,3.60,2.70,45,8,Intel Smart Cache,Intel Iris Pro 580 Graphics
Core i7-6770HQ,Discontinued,Q1'16,4,8,14,3.50,2.60,45,6,Intel Smart Cache,Intel Iris Pro 580 Graphics
Core i7-5550U,Discontinued,Q1'15,2,4,14,3.00,2.00,15,4,Intel Smart Cache,Intel HD 6000 Graphics
Core i7-5557U,Discontinued,Q1'15,2,4,14,3.40,3.10,28,4,N/A,Intel Iris 6100 Graphics
Core i7-5650U,Launched,Q1'15,2,4,14,3.10,2.20,15,4,N/A,Intel HD 6000 Graphics
