Product,Status,Release Date,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),TDP(W),Cache Info,Integrated Graphics
Core i7-5500U,Discontinued,Q1'15,2,4,14,3.00,2.40,15,4,N/A,Intel HD 5500 Graphics
Core i7-5600U,Discontinued,Q1'15,2,4,14,3.20,2.60,15,4,N/A,Intel HD 5500 Graphics
Core i7-5700HQ,Discontinued,Q2'15,4,8,14,3.50,2.70,47,6,N/A,Intel Iris Pro 6200 Graphics
Core i7-5750HQ,Discontinued,Q2'15,4,8,14,3.40,2.50,47,6,N/A,Intel Iris Pro 6200 Graphics
Core i7-5775R,Discontinued,Q2'15,4,8,14,3.80,3.30,65,6,N/A,Intel Iris Pro 6200 Graphics
Core i7-5850HQ,Discontinued,Q2'15,4,8,14,3.60,2.70,47,6,N/A,Intel Iris Pro 6200 Graphics
Core i7-5950HQ,Discontinued,Q2'15,4,8,14,3.80,2.90,47,6,N/A,Intel Iris Pro 6200 Graphics
Core i7-5775C,Discontinued,Q2'15,4,8,14,3.70,3.30,65,6,N/A,Intel Iris Pro 6200 Graphics
Core i7-5700EQ,Launched,Q2'15,4,8,14,3.40,2.60,47,6,Intel Smart Cache,Intel Iris Pro 6200 Graphics
Core i7-5850EQ,Launched,Q2'15,4,8,14,3.40,2.70,47,6,Intel Smart Cache,Intel Iris Pro 6200 Graphics
Core i7-4550U,Discontinued,Q3'13,2,4,22,3.00,1.50,15,4,Intel Smart Cache,Intel HD 5000 Graphics
Core i7-4650U,Launched,Q3'13,2,4,22,3.30,1.70,15,4,Intel Smart Cache,Intel HD 5000 Graphics
Core i7-4700HQ,Discontinued,Q2'13,4,8,22,3.40,2.40,47,6,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4700MQ,Discontinued,Q2'13,4,8,22,3.40,2.40,47,6,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4702HQ,Discontinued,Q2'13,4,8,22,3.20,2.20,37,6,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4702MQ,Discontinued,Q2'13,4,8,22,3.20,2.20,37,6,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4765T,Discontinued,Q2'13,4,8,22,3.00,2.00,35,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4770,Discontinued,Q2'13,4,8,22,3.90,3.40,84,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4770K,Discontinued,Q2'13,4,8,22,3.90,3.50,84,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4770S,Launched,Q2'13,4,8,22,3.90,3.10,65,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4770T,Discontinued,Q2'13,4,8,22,3.70,2.50,45,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4800MQ,Discontinued,Q2'13,4,8,22,3.70,2.70,47,6,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4900MQ,Discontinued,Q2'13,4,8,22,3.80,2.80,47,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4500U,Discontinued,Q3'13,2,4,22,3.00,1.80,15,4,Intel Smart Cache,Intel HD 4400 Graphics
Core i7-4700EQ,Launched,Q2'13,4,8,22,3.40,2.40,47,6,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4700EC,Launched,Q1'14,4,8,22,N/A,2.70,43,8,Intel Smart Cache,N/A
Core i7-4702EC,Launched,Q1'14,4,8,22,N/A,2.00,27,8,Intel Smart Cache,N/A
Core i7-4770TE,Launched,Q2'13,4,8,22,3.30,2.30,45,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4558U,Discontinued,Q3'13,2,4,22,3.30,2.80,28,4,Intel Smart Cache,Intel Iris 5100 Graphics
Core i7-4950HQ,Discontinued,Q3'13,4,8,22,3.60,2.40,47,6,Intel Smart Cache,Intel Iris Pro 5200 Graphics
Core i7-4850HQ,Discontinued,Q3'13,4,8,22,3.50,2.30,47,6,Intel Smart Cache,Intel Iris Pro 5200 Graphics
Core i7-4750HQ,Discontinued,Q3'13,4,8,22,3.20,2.00,47,6,Intel Smart Cache,Intel Iris Pro 5200 Graphics
Core i7-4960HQ,Discontinued,Q4'13,4,8,22,3.80,2.60,47,6,Intel Smart Cache,Intel Iris Pro 5200 Graphics
Core i7-4860HQ,Discontinued,Q1'14,4,8,22,3.60,2.40,47,6,Intel Smart Cache,Intel Iris Pro 5200 Graphics
Core i7-4760HQ,Discontinued,Q2'14,4,8,22,3.30,2.10,47,6,Intel Smart Cache,Intel Iris Pro 5200 Graphics
Core i7-4600M,Discontinued,Q4'13,2,4,22,3.60,2.90,37,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4600U,Discontinued,Q3'13,2,4,22,3.30,2.10,15,4,Intel Smart Cache,Intel HD 4400 Graphics
Core i7-4610Y,Discontinued,Q3'13,2,4,22,2.90,1.70,11.5,4,Intel Smart Cache,Intel HD 4200 Graphics
Core i7-4770R,Discontinued,Q2'13,4,8,22,3.90,3.20,65,6,Intel Smart Cache,Intel Iris Pro 5200 Graphics
Core i7-4771,Discontinued,Q3'13,4,8,22,3.90,3.50,84,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4710HQ,Discontinued,Q2'14,4,8,22,3.50,2.50,47,6,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4710MQ,Discontinued,Q2'14,4,8,22,3.50,2.50,47,6,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4712HQ,Discontinued,Q2'14,4,8,22,3.30,2.30,37,6,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4712MQ,Discontinued,Q2'14,4,8,22,3.30,2.30,37,6,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4720HQ,Discontinued,Q1'15,4,8,22,3.60,2.60,47,6,N/A,Intel HD 4600 Graphics
Core i7-4722HQ,Discontinued,Q1'15,4,8,22,3.40,2.40,37,6,N/A,Intel HD 4600 Graphics
Core i7-4810MQ,Discontinued,Q1'14,4,8,22,3.80,2.80,47,6,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4910MQ,Discontinued,Q1'14,4,8,22,3.90,2.90,47,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4610M,Discontinued,Q1'14,2,4,22,3.70,3.00,37,4,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4790,Discontinued,Q2'14,4,8,22,4.00,3.60,84,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4790K,Discontinued,Q2'14,4,8,22,4.40,4.00,88,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4790S,Launched,Q2'14,4,8,22,4.00,3.20,65,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4790T,Discontinued,Q2'14,4,8,22,3.90,2.70,45,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4785T,Discontinued,Q2'14,4,8,22,3.20,2.20,35,8,Intel Smart Cache,Intel HD 4600 Graphics
Core i7-4510U,Discontinued,Q2'14,2,4,22,3.10,2.00,15,4,Intel Smart Cache,Intel HD 4400 Graphics
Core i7-4980HQ,Discontinued,Q3'14,4,8,22,4.00,2.80,47,6,N/A,Intel Iris Pro 5200 Graphics
Core i7-4870HQ,Discontinued,Q3'14,4,8,22,3.70,2.50,47,6,N/A,Intel Iris Pro 5200 Graphics
Core i7-4770HQ,Discontinued,Q3'14,4,8,22,3.40,2.20,47,6,N/A,Intel Iris Pro 5200 Graphics
Core i7-4578U,Discontinued,Q3'14,2,4,22,3.50,3.00,28,4,N/A,Intel Iris 5100 Graphics
Core i5-12600K,Launched,Q4'21,10,16,7,4.90,3.70,125,20,Intel Smart Cache,Intel UHD Graphics 770
Core i5-12600KF,Launched,Q4'21,10,16,7,4.90,3.70,125,20,Intel Smart Cache,N/A
Core i5-11300H,Launched,Q1'21,4,8,10,4.40,N/A,N/A,8,Intel Smart Cache,Intel Iris Xe Graphics
Core i5-1145GRE,Launched,Q3'20,4,8,10,4.10,1.50,15,8,Intel Smart Cache,Intel Iris Xe Graphics
Core i5-1145G7E,Launched,Q3'20,4,8,10,4.10,1.50,15,8,Intel Smart Cache,Intel Iris Xe Graphics
Core i5-1130G7,Launched,Q3'20,4,8,10,4.00,N/A,N/A,8,Intel Smart Cache,Intel Iris Xe Graphics
Core i5-1135G7,Launched,Q3'20,4,8,10,4.20,N/A,N/A,8,Intel Smart Cache,Intel Iris Xe Graphics
Core i5-1140G7,Launched,Q1'21,4,8,10,4.20,N/A,N/A,8,Intel Smart Cache,Intel Iris Xe Graphics
Core i5-1145G7,Launched,Q1'21,4,8,10,4.40,N/A,N/A,8,Intel Smart Cache,Intel Iris Xe Graphics
Core i5-1135G7 (with IPU),Launched,Q3'20,4,8,10,4.20,N/A,N/A,8,Intel Smart Cache,Intel Iris Xe Graphics
Core i5-11400,Launched,Q1'21,6,12,14,4.40,2.60,65,12,Intel Smart Cache,Intel UHD Graphics 730
Core i5-11400F,Launched,Q1'21,6,12,14,4.40,2.60,65,12,Intel Smart Cache,N/A
Core i5-11500T,Launched,Q1'21,6,12,14,3.90,1.50,35,12,Intel Smart Cache,Intel UHD Graphics 750
Core i5-11400T,Launched,Q1'21,6,12,14,3.70,1.30,35,12,Intel Smart Cache,Intel UHD Graphics 730
Core i5-11600,Launched,Q1'21,6,12,14,4.80,2.80,65,12,Intel Smart Cache,Intel UHD Graphics 750
Core i5-11600K,Launched,Q1'21,6,12,14,4.90,3.90,125,12,Intel Smart Cache,Intel UHD Graphics 750
Core i5-11600KF,Launched,Q1'21,6,12,14,4.90,3.90,125,12,Intel Smart Cache,N/A
Core i5-11500,Launched,Q1'21,6,12,14,4.60,2.70,65,12,Intel Smart Cache,Intel UHD Graphics 750
Core i5-11600T,Launched,Q1'21,6,12,14,4.10,1.70,35,12,Intel Smart Cache,Intel UHD Graphics 750
Core i5-11500H,Launched,Q2'21,6,12,10,4.60,N/A,N/A,12,Intel Smart Cache,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i5-11400H,Launched,Q2'21,6,12,10,4.50,N/A,N/A,12,Intel Smart Cache,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i5-11260H,Launched,Q2'21,6,12,10,4.40,N/A,N/A,12,Intel Smart Cache,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i5-11320H,Launched,Q2'21,4,8,10,4.50,N/A,N/A,8,Intel Smart Cache,Intel Iris Xe Graphics eligible
Core i5-1155G7 (with IPU),Launched,Q2'21,4,8,10,4.50,N/A,N/A,8,Intel Smart Cache,Intel Iris Xe Graphics eligible
Core i5-1155G7,Launched,Q2'21,4,8,10,4.50,N/A,N/A,8,Intel Smart Cache,Intel Iris Xe Graphics eligible
Core i5-11500HE,Launched,Q3'21,6,12,10,4.50,N/A,N/A,12,Intel Smart Cache,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i5-10210U,Launched,Q3'19,4,8,14,4.20,1.60,15,6,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i5-10310Y,Discontinued,Q3'19,4,8,14,4.10,1.10,7,6,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i5-10210Y,Launched,Q3'19,4,8,14,4.00,1.00,7,6,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i5-1035G4,Launched,Q3'19,4,8,10,3.70,1.10,15,6,Intel Smart Cache,Intel Iris Plus Graphics
Core i5-1035G7,Launched,Q3'19,4,8,10,3.70,1.20,15,6,Intel Smart Cache,Intel Iris Plus Graphics
Core i5-1038NG7,Launched,Q2'20,4,8,10,3.80,2.00,28,6,Intel Smart Cache,Intel Iris Plus Graphics
Core i5-1035G1,Launched,Q3'19,4,8,10,3.60,1.00,15,6,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i5-1030G7,Discontinued,Q3'19,4,8,10,3.50,0.80,9,6,Intel Smart Cache,Intel Iris Plus Graphics
Core i5-1030G4,Discontinued,Q3'19,4,8,10,3.50,0.70,9,6,Intel Smart Cache,Intel Iris Plus Graphics
Core i5-10400,Launched,Q2'20,6,12,14,4.30,2.90,65,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-10600,Launched,Q2'20,6,12,14,4.80,3.30,65,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-10500T,Launched,Q2'20,6,12,14,3.80,2.30,35,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-10400T,Launched,Q2'20,6,12,14,3.60,2.00,35,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-10500,Launched,Q2'20,6,12,14,4.50,3.10,65,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-10400F,Launched,Q2'20,6,12,14,4.30,2.90,65,12,Intel Smart Cache,N/A
Core i5-10600T,Launched,Q2'20,6,12,14,4.00,2.40,35,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-10600K,Launched,Q2'20,6,12,14,4.80,4.10,125,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-10600KF,Launched,Q2'20,6,12,14,4.80,4.10,125,12,Intel Smart Cache,N/A
Core i5-10300H,Launched,Q2'20,4,8,14,4.50,2.50,45,8,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i5-10505,Launched,Q1'21,6,12,14,4.60,3.20,65,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-10310U,Launched,Q2'20,4,8,14,4.40,1.70,15,6,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i5-10400H,Launched,Q2'20,4,8,14,4.60,2.60,45,8,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i5-10500H,Launched,Q4'20,6,12,14,4.50,2.50,45,12,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i5-10500TE,Launched,Q2'20,6,12,14,3.70,2.30,35,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-10500E,Launched,Q2'20,6,12,14,4.20,3.10,65,12,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-10200H,Launched,Q3'20,4,8,14,4.10,2.40,45,8,Intel Smart Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i5-9400T,Launched,Q2'19,6,6,14,3.40,1.80,35,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-9500,Launched,Q2'19,6,6,14,4.40,3.00,65,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-9600K,Launched,Q4'18,6,6,14,4.60,3.70,95,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-9400,Launched,Q1'19,6,6,14,4.10,2.90,65,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-9600,Launched,Q2'19,6,6,14,4.60,3.10,65,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-9400F,Launched,Q1'19,6,6,14,4.10,2.90,65,9,Intel Smart Cache,N/A
Core i5-9600KF,Launched,Q1'19,6,6,14,4.60,3.70,95,9,Intel Smart Cache,N/A
Core i5-9500F,Launched,Q2'19,6,6,14,4.40,3.00,65,9,Intel Smart Cache,N/A
Core i5-9600T,Launched,Q2'19,6,6,14,3.90,2.30,35,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-9500T,Launched,Q2'19,6,6,14,3.70,2.20,35,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-9300H,Launched,Q2'19,4,8,14,4.10,2.40,45,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-9400H,Launched,Q2'19,4,8,14,4.30,2.50,45,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-9300HF,Launched,Q2'19,4,8,14,4.10,2.40,45,8,Intel Smart Cache,N/A
Core i5-9500E,Launched,Q2'19,6,6,14,4.20,3.00,65,9,N/A,Intel UHD 630 Graphics
Core i5-9500TE,Launched,Q2'19,6,6,14,3.60,2.20,35,9,N/A,Intel UHD 630 Graphics
Core i5-8250U,Launched,Q3'17,4,8,14,3.40,1.60,15,6,Intel Smart Cache,Intel UHD 620 Graphics
Core i5-8350U,Launched,Q3'17,4,8,14,3.60,1.70,15,6,Intel Smart Cache,Intel UHD 620 Graphics
Core i5-8600K,Discontinued,Q4'17,6,6,14,4.30,3.60,95,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-8400,Discontinued,Q4'17,6,6,14,4.00,2.80,65,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-8600,Discontinued,Q2'18,6,6,14,4.30,3.10,65,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-8600T,Discontinued,Q2'18,6,6,14,3.70,2.30,35,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-8500,Launched,Q2'18,6,6,14,4.10,3.00,65,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-8400T,Discontinued,Q2'18,6,6,14,3.30,1.70,35,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-8500T,Launched,Q2'18,6,6,14,3.50,2.10,35,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-8305G with Radeon RX Vega M GL Graphics,Announced,Q1'18,4,8,14,3.80,2.80,N/A,6,N/A,Intel HD 630 Graphics
Core i5-8300H,Launched,Q2'18,4,8,14,4.00,2.30,45,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-8400H,Launched,Q2'18,4,8,14,4.20,2.50,45,8,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-8400B,Discontinued,Q2'18,6,6,14,4.00,2.80,65,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-8500B,Discontinued,Q2'18,6,6,14,4.10,3.00,65,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-8259U,Launched,Q2'18,4,8,14,3.80,2.30,28,6,Intel Smart Cache,Intel Iris Plus Graphics 655
Core i5-8269U,Launched,Q2'18,4,8,14,4.20,2.60,28,6,Intel Smart Cache,Intel Iris Plus Graphics 655
Core i5+8500 Includes Intel Optane Memory,Launched,Q2'18,6,6,14,4.10,3.00,65,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5+8400 Includes Intel Optane Memory,Launched,Q2'18,6,6,14,4.00,2.80,65,9,Intel Smart Cache,Intel UHD 630 Graphics
Core i5-8305G with Radeon Pro WX Vega M GL Graphics,Discontinued,Q3'18,4,8,14,3.80,2.80,N/A,6,N/A,Intel HD 630 Graphics
Core i5-8265U,Launched,Q3'18,4,8,14,3.90,1.60,15,6,Intel Smart Cache,Intel UHD Graphics for 8th Generation Intel Processors
Core i5-8200Y,Launched,Q3'18,2,4,14,3.90,1.30,5,4,Intel Smart Cache,Intel UHD 615 Graphics
Core i5-8210Y,Discontinued,Q1'19,2,4,14,3.60,1.60,7,4,Intel Smart Cache,Intel UHD 617 Graphics
Core i5-8257U,Launched,Q3'19,4,8,14,3.90,1.40,15,6,Intel Smart Cache,Intel Iris Plus Graphics 645
Core i5-8279U,Launched,Q2'19,4,8,14,4.10,2.40,28,6,Intel Smart Cache,Intel Iris Plus Graphics 655
Core i5-8365U,Launched,Q2'19,4,8,14,4.10,1.60,15,6,Intel Smart Cache,Intel UHD Graphics for 8th Generation Intel Core Processors
Core i5-8365UE,Launched,Q2'19,4,8,14,4.10,1.60,15,6,Intel Smart Cache,Intel UHD 620 Graphics
Core i5-8310Y,Launched,Q1'19,2,4,14,3.90,1.60,7,4,Intel Smart Cache,Intel UHD 617 Graphics
Core i5-8260U,Launched,Q4'19,4,8,14,3.90,1.60,15,6,Intel Smart Cache,Intel UHD 620 Graphics
Core i5-7200U,Launched,Q3'16,2,4,14,3.10,2.50,15,3,Intel Smart Cache,Intel HD 620 Graphics
Core i5-7Y54,Launched,Q3'16,2,4,14,3.20,1.20,4.5,4,Intel Smart Cache,Intel HD 615 Graphics
Core i5-7500T,Launched,Q1'17,4,4,14,3.30,2.70,35,6,Intel Smart Cache,Intel HD 630 Graphics
Core i5-7500,Launched,Q1'17,4,4,14,3.80,3.40,65,6,Intel Smart Cache,Intel HD 630 Graphics
Core i5-7600K,Discontinued,Q1'17,4,4,14,4.20,3.80,91,6,Intel Smart Cache,Intel HD 630 Graphics
Core i5-7400,Discontinued,Q1'17,4,4,14,3.50,3.00,65,6,Intel Smart Cache,Intel HD 630 Graphics
Core i5-7600,Discontinued,Q1'17,4,4,14,4.10,3.50,65,6,Intel Smart Cache,Intel HD 630 Graphics
Core i5-7600T,Discontinued,Q1'17,4,4,14,3.70,2.80,35,6,Intel Smart Cache,Intel HD 630 Graphics
Core i5-7400T,Discontinued,Q1'17,4,4,14,3.00,2.40,35,6,Intel Smart Cache,Intel HD 630 Graphics
Core i5-7300HQ,Launched,Q1'17,4,4,14,3.50,2.50,45,6,N/A,Intel HD 630 Graphics
Core i5-7440HQ,Launched,Q1'17,4,4,14,3.80,2.80,45,6,N/A,Intel HD 630 Graphics
Core i5-7Y57,Launched,Q1'17,2,4,14,3.30,1.20,4.5,4,Intel Smart Cache,Intel HD 615 Graphics
Core i5-7300U,Launched,Q1'17,2,4,14,3.50,2.60,15,3,Intel Smart Cache,Intel HD 620 Graphics
Core i5-7440EQ,Launched,Q1'17,4,4,14,3.60,2.90,45,6,N/A,Intel HD 630 Graphics
Core i5-7267U,Discontinued,Q1'17,2,4,14,3.50,3.10,28,4,N/A,Intel Iris Plus 650 Graphics
Core i5-7287U,Discontinued,Q1'17,2,4,14,3.70,3.30,28,4,N/A,Intel Iris Plus 650 Graphics
Core i5-7442EQ,Launched,Q1'17,4,4,14,2.90,2.10,25,6,N/A,Intel HD 630 Graphics
Core i5-7360U,Launched,Q1'17,2,4,14,3.60,2.30,15,4,N/A,Intel Iris Plus 640 Graphics
Core i5-7260U,Launched,Q1'17,2,4,14,3.40,2.20,15,4,N/A,Intel Iris Plus 640 Graphics
Core i5-6500T,Discontinued,Q3'15,4,4,14,3.10,2.50,35,6,Intel Smart Cache,Intel HD 530 Graphics
Core i5-6500,Launched,Q3'15,4,4,14,3.60,3.20,65,6,Intel Smart Cache,Intel HD 530 Graphics
Core i5-6400,Discontinued,Q3'15,4,4,14,3.30,2.70,65,6,Intel Smart Cache,Intel HD 530 Graphics
Core i5-6500TE,Launched,Q4'15,4,4,14,3.30,2.30,35,6,Intel Smart Cache,Intel HD 530 Graphics
Core i5-6400T,Discontinued,Q3'15,4,4,14,2.80,2.20,35,6,Intel Smart Cache,Intel HD 530 Graphics
Core i5-6600,Discontinued,Q3'15,4,4,14,3.90,3.30,65,6,Intel Smart Cache,Intel HD 530 Graphics
Core i5-6600T,Discontinued,Q3'15,4,4,14,3.50,2.70,35,6,Intel Smart Cache,Intel HD 530 Graphics
Core i5-6300U,Launched,Q3'15,2,4,14,3.00,2.40,15,3,Intel Smart Cache,Intel HD 520 Graphics
Core i5-6600K,Discontinued,Q3'15,4,4,14,3.90,3.50,91,6,Intel Smart Cache,Intel HD 530 Graphics
