Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Xeon Platinum 8380HL,Launched,Q2'20,28,4.30,2.90,38.5,N/A,N/A
Xeon Platinum 8380H,Launched,Q2'20,28,4.30,2.90,38.5,N/A,N/A
Xeon Platinum 8376HL,Launched,Q2'20,28,4.30,2.60,38.5,N/A,N/A
Xeon Platinum 8376H,Launched,Q2'20,28,4.30,2.60,38.5,N/A,N/A
Xeon Platinum 8360HL,Launched,Q3'20,24,4.20,3.00,33,N/A,N/A
Xeon Platinum 8360H,Launched,Q3'20,24,4.20,3.00,33,N/A,N/A
Xeon Platinum 8356H,Launched,Q3'20,8,4.40,3.90,35.75,N/A,N/A
Xeon Platinum 8354H,Launched,Q2'20,18,4.30,3.10,24.75,N/A,N/A
Xeon Platinum 8353H,Launched,Q2'20,18,3.80,2.50,24.75,N/A,N/A
Xeon Gold 6348H,Launched,Q2'20,24,4.20,2.30,33,N/A,N/A
Xeon Gold 6330H,Launched,Q3'20,24,3.70,2.00,33,N/A,N/A
Xeon Gold 6328HL,Launched,Q2'20,16,4.30,2.80,22,N/A,N/A
Xeon Gold 6328H,Launched,Q2'20,16,4.30,2.80,22,N/A,N/A
Xeon Gold 5320H,Launched,Q2'20,20,4.20,2.40,27.5,N/A,N/A
Xeon Gold 5318H,Launched,Q2'20,18,3.80,2.50,24.75,N/A,N/A
Xeon Platinum 9282,Launched,Q2'19,56,3.80,2.60,77,Intel Smart Cache,N/A
Xeon Platinum 9242,Launched,Q2'19,48,3.80,2.30,71.5,Intel Smart Cache,N/A
Xeon Platinum 9222,Launched,Q3'19,32,3.70,2.30,71.5,N/A,N/A
Xeon Platinum 9221,Launched,Q3'19,32,3.70,2.30,71.5,N/A,N/A
Xeon Platinum 8280L,Launched,Q2'19,28,4.00,2.70,38.5,N/A,N/A
Xeon Platinum 8280,Launched,Q2'19,28,4.00,2.70,38.5,N/A,N/A
Xeon Platinum 8276L,Launched,Q2'19,28,4.00,2.20,38.5,N/A,N/A
Xeon Platinum 8276,Launched,Q2'19,28,4.00,2.20,38.5,N/A,N/A
Xeon Platinum 8270,Launched,Q2'19,26,4.00,2.70,35.75,N/A,N/A
Xeon Platinum 8268,Launched,Q2'19,24,3.90,2.90,35.75,N/A,N/A
Xeon Platinum 8260Y,Launched,Q2'19,24,3.90,2.40,35.75,N/A,N/A
Xeon Platinum 8260L,Launched,Q2'19,24,3.90,2.40,35.75,N/A,N/A
Xeon Plaitnum 8260,Launched,Q2'19,24,3.90,2.40,35.75,N/A,N/A
Xeon Platinum 8256,Launched,Q2'19,4,3.90,3.80,16.5,N/A,N/A
Xeon Platinum 8253,Launched,Q2'19,16,3.00,2.20,22,N/A,N/A
Xeon Gold 6262V,Launched,Q2'19,24,3.60,1.90,33,N/A,N/A
Xeon Gold 6258R,Launched,Q1'20,28,4.00,2.70,38.5,N/A,N/A
Xeon Gold 6256,Launched,Q1'20,12,4.50,3.60,33,N/A,N/A
Xeon Gold 6254,Launched,Q2'19,18,4.00,3.10,24.75,N/A,N/A
Xeon Gold 6252N,Launched,Q2'19,24,3.60,2.30,35.75,N/A,N/A
Xeon Gold 6252,Launched,Q2'19,24,3.70,2.10,35.75,N/A,N/A
Xeon Gold 6250L,Launched,Q1'20,8,4.50,3.90,35.75,N/A,N/A
Xeon Gold 6250,Launched,Q1'20,8,4.50,3.90,35.75,N/A,N/A
Xeon Gold 6248R,Launched,Q1'20,24,4.00,3.00,35.75,N/A,N/A
Xeon Gold 6248,Launched,Q2'19,20,3.90,2.50,27.5,N/A,N/A
Xeon Gold 6246R,Launched,Q1'20,16,4.10,3.40,35.75,N/A,N/A
Xeon Gold 6246,Launched,Q2'19,12,4.20,3.30,24.75,N/A,N/A
Xeon Gold 6244,Launched,Q2'19,8,4.40,3.60,24.75,N/A,N/A
Xeon Gold 6242R,Launched,Q1'20,20,4.10,3.10,35.75,N/A,N/A
Xeon Gold 6242,Launched,Q2'19,16,3.90,2.80,22,N/A,N/A
Xeon Gold 6240Y,Launched,Q2'19,18,3.90,2.60,24.75,N/A,N/A
Xeon Gold 6240R,Launched,Q1'20,24,4.00,2.40,35.75,N/A,N/A
Xeon Gold 6240L,Launched,Q2'19,18,3.90,2.60,24.75,N/A,N/A
Xeon Gold 6240,Launched,Q2'19,18,3.90,2.60,24.75,N/A,N/A
Xeon Gold 6238T,Launched,Q2'19,22,3.70,1.90,30.25,N/A,N/A
Xeon Gold 6238R,Launched,Q1'20,28,4.00,2.20,38.5,N/A,N/A
Xeon Gold 6238L,Launched,Q2'19,22,3.70,2.10,30.25,N/A,N/A
Xeon Gold 6238,Launched,Q2'19,22,3.70,2.10,30.25,N/A,N/A
Xeon Gold 6234,Launched,Q2'19,8,4.00,3.30,24.75,N/A,N/A
Xeon Gold 6230T,Launched,Q2'19,20,3.90,2.10,27.5,N/A,N/A
Xeon Gold 6230N,Launched,Q2'19,20,3.50,2.30,27.5,N/A,N/A
Xeon Gold 6230R,Launched,Q1'20,26,4.00,2.10,35.75,N/A,N/A
Xeon Gold 6230,Launched,Q2'19,20,3.90,2.10,27.5,N/A,N/A
Xeon Gold 6226R,Launched,Q1'20,16,3.90,2.90,22,N/A,N/A
Xeon Gold 6226,Launched,Q2'19,12,3.70,2.70,19.25,N/A,N/A
Xeon Gold 6222V,Launched,Q2'19,20,3.60,1.80,27.5,N/A,N/A
Xeon Gold 6212U,Launched,Q2'19,24,3.90,2.40,35.75,N/A,N/A
Xeon Gold 6210U,Launched,Q2'19,20,3.90,2.50,27.5,N/A,N/A
Xeon Gold 6209U,Launched,Q2'19,20,3.90,2.10,27.5,N/A,N/A
Xeon Gold 6208U,Launched,Q1'20,16,3.90,2.90,22,N/A,N/A
Xeon Gold 5222,Launched,Q2'19,4,3.90,3.80,16.5,N/A,N/A
Xeon Gold 5220T,Launched,Q2'19,18,3.90,1.90,24.75,N/A,N/A
Xeon Gold 5220S,Launched,Q2'19,18,3.90,2.70,24.75,N/A,N/A
Xeon Gold 5220R,Launched,Q1'20,24,4.00,2.20,35.75,N/A,N/A
Xeon Gold 5220,Launched,Q2'19,18,3.90,2.20,24.75,N/A,N/A
Xeon Gold 5218T,Launched,Q2'19,18,3.80,2.10,22,N/A,N/A
Xeon Gold 5218R,Launched,Q1'20,20,4.00,2.10,27.5,N/A,N/A
Xeon Gold 5218N,Launched,Q2'19,16,3.70,2.30,22,N/A,N/A
Xeon Gold 5218B,Launched,Q2'19,16,3.90,2.30,22,N/A,N/A
Xeon Gold 5218,Launched,Q2'19,16,3.90,2.30,22,N/A,N/A
Xeon Gold 5217,Launched,Q2'19,8,3.70,3.00,11,N/A,N/A
Xeon Gold 5215L,Launched,Q2'19,10,3.40,2.50,13.75,N/A,N/A
Xeon Gold 5215,Launched,Q2'19,10,3.40,2.50,13.75,N/A,N/A
Xeon Silver 4216,Launched,Q2'19,16,3.20,2.10,22,N/A,N/A
Xeon Silver 4215R,Launched,Q1'20,8,4.00,3.20,11,N/A,N/A
Xeon Silver 4215,Launched,Q2'19,8,3.50,2.50,11,N/A,N/A
Xeon Silver 4214Y,Launched,Q2'19,12,3.20,2.20,16.5,N/A,N/A
Xeon Silver 4214R,Launched,Q1'20,12,3.50,2.40,16.5,N/A,N/A
Xeon Silver 4214,Launched,Q2'19,12,3.20,2.20,16.5,N/A,N/A
Xeon Silver 4210T,Launched,Q1'20,10,3.20,2.30,13.75,N/A,N/A
Xeon Silver 4210R,Launched,Q1'20,10,3.20,2.40,13.75,N/A,N/A
Xeon Silver 4210,Launched,Q2'19,10,3.20,2.20,13.75,N/A,N/A
Xeon Silver 4209T,Launched,Q2'19,8,3.20,2.20,11,N/A,N/A
Xeon Silver 4208,Launched,Q2'19,8,3.20,2.10,11,N/A,N/A
Xeon Bronze 3206R,Launched,Q1'20,8,1.90,1.90,11,N/A,N/A
Xeon Bronze 3204,Launched,Q2'19,6,1.90,1.90,8.25,N/A,N/A
Xeon Platinum 8180,Launched,Q3'17,28,3.80,2.50,38.5,L3 Cache,N/A
Xeon Platinum 8176F,Launched,Q3'17,28,3.80,2.10,38.5,L3 Cache,N/A
Xeon Platinum 8176,Launched,Q3'17,28,3.80,2.10,38.5,L3 Cache,N/A
Xeon Platinum 8170,Launched,Q3'17,26,3.70,2.10,35.75,L3 Cache,N/A
Xeon Platinum 8168,Launched,Q3'17,24,3.70,2.70,33,L3 Cache,N/A
Xeon Platinum 8164,Launched,Q3'17,26,3.70,2.00,35.75,L3 Cache,N/A
Xeon Platinum 8160T,Launched,Q3'17,24,3.70,2.10,33,L3 Cache,N/A
Xeon Platinum 8160F,Launched,Q3'17,24,3.70,2.10,33,L3 Cache,N/A
Xeon Platinum 8160,Launched,Q3'17,24,3.70,2.10,33,L3 Cache,N/A
Xeon Platinum 8158,Launched,Q3'17,12,3.70,3.00,24.75,L3 Cache,N/A
Xeon Platinum 8156,Launched,Q3'17,4,3.70,3.60,16.5,L3 Cache,N/A
Xeon Platinum 8153,Launched,Q3'17,16,2.80,2.00,22,L3 Cache,N/A
Xeon Gold 6154,Launched,Q3'17,18,3.70,3.00,24.75,L3 Cache,N/A
Xeon Gold 6152,Launched,Q3'17,22,3.70,2.10,30.25,L3 Cache,N/A
Xeon Gold 6150,Launched,Q3'17,18,3.70,2.70,24.75,L3 Cache,N/A
Xeon Gold 6148F,Launched,Q3'17,20,3.70,2.40,27.5,L3 Cache,N/A
Xeon Gold 6148,Launched,Q3'17,20,3.70,2.40,27.5,L3 Cache,N/A
Xeon Gold 6146,Launched,Q3'17,12,4.20,3.20,24.75,L3 Cache,N/A
Xeon Gold 6144,Launched,Q3'17,8,4.20,3.50,24.75,L3 Cache,N/A
Xeon Gold 6142F,Launched,Q3'17,16,3.70,2.60,22,L3 Cache,N/A
Xeon Gold 6142,Launched,Q3'17,16,3.70,2.60,22,L3 Cache,N/A
Xeon Gold 6140,Launched,Q3'17,18,3.70,2.30,24.75,L3 Cache,N/A
Xeon Gold 6138T,Launched,Q3'17,20,3.70,2.00,27.5,L3 Cache,N/A
Xeon Gold 6138P,Launched,Q2'18,20,3.70,2.00,27.5,L3 Cache,N/A
Xeon Gold 6138F,Launched,Q3'17,20,3.70,2.00,27.5,L3 Cache,N/A
Xeon Gold 6138,Launched,Q3'17,20,3.70,2.00,27.5,L3 Cache,N/A
Xeon Gold 6136,Launched,Q3'17,12,3.70,3.00,24.75,L3 Cache,N/A
Xeon Gold 6134,Launched,Q3'17,8,3.70,3.20,24.75,L3 Cache,N/A
Xeon Gold 6132,Launched,Q3'17,14,3.70,2.60,19.25,L3 Cache,N/A
Xeon Gold 6130T,Launched,Q3'17,16,3.70,2.10,22,L3 Cache,N/A
Xeon Gold 6130F,Launched,Q3'17,16,3.70,2.10,22,L3 Cache,N/A
Xeon Gold 6130,Launched,Q3'17,16,3.70,2.10,22,L3 Cache,N/A
Xeon Gold 6128,Launched,Q3'17,6,3.70,3.40,19.25,L3 Cache,N/A
Xeon Gold 6126T,Launched,Q3'17,12,3.70,2.60,19.25,L3 Cache,N/A
Xeon Gold 6126F,Launched,Q3'17,12,3.70,2.60,19.25,L3 Cache,N/A
Xeon Gold 6126,Launched,Q3'17,12,3.70,2.60,19.25,L3 Cache,N/A
Xeon Gold 5122,Launched,Q3'17,4,3.70,3.60,16.5,L3 Cache,N/A
Xeon Gold 5120T,Launched,Q3'17,14,3.20,2.20,19.25,L3 Cache,N/A
Xeon Gold 5120,Launched,Q3'17,14,3.20,2.20,19.25,L3 Cache,N/A
Xeon Gold 5119T,Launched,Q3'17,14,3.20,1.90,19.25,L3 Cache,N/A
Xeon Gold 5118,Launched,Q3'17,12,3.20,2.30,16.5,L3 Cache,N/A
Xeon Gold 5115,Launched,Q3'17,10,3.20,2.40,13.75,L3 Cache,N/A
Xeon Silver 4116T,Launched,Q3'17,12,3.00,2.10,16.5,L3 Cache,N/A
Xeon Silver 4116,Launched,Q3'17,12,3.00,2.10,16.5,L3 Cache,N/A
Xeon Silver 4114T,Launched,Q3'17,10,3.00,2.20,13.75,L3 Cache,N/A
Xeon Silver 4114,Launched,Q3'17,10,3.00,2.20,13.75,L3 Cache,N/A
Xeon Silver 4112,Launched,Q3'17,4,3.00,2.60,8.25,L3 Cache,N/A
Xeon Silver 4110,Launched,Q3'17,8,3.00,2.10,11,L3 Cache,N/A
Xeon Silver 4109T,Launched,Q3'17,8,3.00,2.00,11,L3 Cache,N/A
Xeon Silver 4108,Launched,Q3'17,8,3.00,1.80,11,L3 Cache,N/A
Xeon Bronze 3106,Launched,Q3'17,8,N/A,1.70,11,L3 Cache,N/A
Xeon Bronze 3104,Launched,Q3'17,6,N/A,1.70,8.25,L3 Cache,N/A
Xeon E-2288G,Launched,Q2'19,8,5.00,3.70,16,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2286M,Launched,Q2'19,8,5.00,2.40,16,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2286G,Launched,Q2'19,6,4.90,4.00,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2278GEL,Launched,Q2'19,8,3.90,2.00,16,N/A,Intel UHD 630 Graphics
Xeon E-2278GE,Launched,Q2'19,8,4.70,3.30,16,N/A,Intel UHD 630 Graphics
Xeon E-2278G,Launched,Q2'19,8,5.00,3.40,16,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2276ML,Launched,Q2'19,6,4.20,2.00,12,N/A,Intel UHD Graphics P630
Xeon E-2276ME,Launched,Q2'19,6,4.50,2.80,12,N/A,Intel UHD Graphics P630
Xeon E-2276M,Launched,Q2'19,6,4.70,2.80,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2276G,Launched,Q2'19,6,4.90,3.80,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2274G,Launched,Q2'19,4,4.90,4.00,8,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2254ML,Launched,Q2'19,4,3.50,1.70,8,N/A,Intel UHD Graphics P630
Xeon E-2254ME,Launched,Q2'19,4,3.80,2.60,8,N/A,Intel UHD Graphics P630
Xeon E-2246G,Launched,Q2'19,6,4.80,3.60,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2244G,Launched,Q2'19,4,4.80,3.80,8,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2236,Launched,Q2'19,6,4.80,3.40,12,Intel Smart Cache,N/A
Xeon E-2234,Launched,Q2'19,4,4.80,3.60,8,Intel Smart Cache,N/A
Xeon E-2226GE,Launched,Q2'19,6,4.60,3.40,12,Intel Smart Cache,Intel UHD 630 Graphics
Xeon E-2226G,Launched,Q2'19,6,4.70,3.40,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2224,Launched,Q2'19,4,4.60,3.40,8,Intel Smart Cache,N/A
Xeon E-2224G,Launched,Q2'19,4,4.70,3.50,8,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2186G,Launched,Q3'18,6,4.70,3.80,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2186M,Launched,Q2'18,6,4.80,2.90,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2176G,Launched,Q3'18,6,4.70,3.70,12,Intel Smart Cache,Intel UHD 630 Graphics
Xeon E-2176M,Launched,Q2'18,6,4.40,2.70,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2174G,Launched,Q3'18,4,4.70,3.80,8,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2146G,Launched,Q3'18,6,4.50,3.50,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2144G,Launched,Q3'18,4,4.50,3.60,8,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2136,Launched,Q3'18,6,4.50,3.30,12,Intel Smart Cache,N/A
Xeon E-2134,Launched,Q3'18,4,4.50,3.50,8,Intel Smart Cache,N/A
Xeon E-2126G,Launched,Q3'18,6,4.50,3.30,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon E-2124,Launched,Q3'18,4,4.30,3.30,8,Intel Smart Cache,N/A
Xeon E-2124G,Launched,Q3'18,4,4.50,3.40,8,Intel Smart Cache,Intel UHD 630 Graphics
Xeon W-10885M,Launched,Q2'20,8,5.30,2.40,16,Intel Smart Cache,Intel UHD Graphics
Xeon W-10855M,Launched,Q2'20,6,5.10,2.80,12,Intel Smart Cache,Intel UHD Graphics
Xeon W-3275M,Launched,Q2'19,28,4.40,2.50,38.5,N/A,N/A
Xeon W-3275,Launched,Q2'19,28,4.40,2.50,38.5,N/A,N/A
Xeon W-3265M,Launched,Q2'19,24,4.40,2.70,33,N/A,N/A
Xeon W-3265,Launched,Q2'19,24,4.40,2.70,33,N/A,N/A
Xeon W-3245M,Launched,Q2'19,16,4.40,3.20,22,N/A,N/A
Xeon W-3245,Launched,Q2'19,16,4.40,3.20,22,N/A,N/A
Xeon W-3235,Launched,Q2'19,12,4.40,3.30,19.25,N/A,N/A
Xeon W-3225,Launched,Q2'19,8,4.30,3.70,16.5,N/A,N/A
Xeon W-3223,Launched,Q2'19,8,4.00,3.50,16.5,N/A,N/A
Xeon W-3175X,Launched,Q4'18,28,3.80,3.10,38.5,N/A,N/A
Xeon W-2295,Launched,Q4'19,18,4.60,3.00,24.75,N/A,N/A
Xeon W-2275,Launched,Q4'19,14,4.60,3.30,19.25,N/A,N/A
Xeon W-2265,Launched,Q4'19,12,4.60,3.50,19.25,N/A,N/A
Xeon W-2255,Launched,Q4'19,10,4.50,3.70,19.25,N/A,N/A
Xeon W-2245,Launched,Q4'19,8,4.50,3.90,16.5,N/A,N/A
Xeon W-2235,Launched,Q4'19,6,4.60,3.80,8.25,N/A,N/A
Xeon W-2225,Launched,Q4'19,4,4.60,4.10,8.25,N/A,N/A
Xeon W-2223,Launched,Q4'19,4,3.90,3.60,8.25,N/A,N/A
Xeon W-2195,Launched,Q3'17,18,4.30,2.30,24.75,N/A,N/A
Xeon W-2175,Launched,Q4'17,14,4.30,2.50,19,N/A,N/A
Xeon W-2155,Launched,Q3'17,10,4.50,3.30,13.75,N/A,N/A
Xeon W-2145,Launched,Q3'17,8,4.50,3.70,11,N/A,N/A
Xeon W-2135,Launched,Q3'17,6,4.50,3.70,8.25,N/A,N/A
Xeon W-2133,Launched,Q3'17,6,3.90,3.60,8.25,N/A,N/A
Xeon W-2125,Launched,Q3'17,4,4.50,4.00,8.25,N/A,N/A
Xeon W-2123,Launched,Q3'17,4,3.90,3.60,8.25,N/A,N/A
Xeon W-1290TE,Launched,Q2'20,10,4.50,1.80,20,Intel Smart Cache,Intel UHD 630 Graphics
Xeon W-1290T,Launched,Q2'20,10,4.70,1.90,20,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1290P,Launched,Q2'20,10,5.30,3.70,20,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1290E,Launched,Q2'20,10,4.80,3.50,20,Intel Smart Cache,Intel UHD 630 Graphics
Xeon W-1290,Launched,Q2'20,10,5.20,3.20,20,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1270TE,Launched,Q2'20,8,4.40,2.00,16,Intel Smart Cache,Intel UHD 630 Graphics
Xeon W-1270P,Launched,Q2'20,8,5.10,3.80,16,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1270E,Launched,Q2'20,8,4.80,3.40,16,Intel Smart Cache,Intel UHD 630 Graphics
Xeon W-1270,Launched,Q2'20,8,5.00,3.40,16,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1250TE,Launched,Q2'20,6,3.80,2.40,12,Intel Smart Cache,Intel UHD 630 Graphics
Xeon W-1250P,Launched,Q2'20,6,4.80,4.10,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1250E,Launched,Q2'20,6,4.70,3.50,12,Intel Smart Cache,Intel UHD 630 Graphics
Xeon W-1250,Launched,Q2'20,6,4.70,3.30,12,Intel Smart Cache,Intel UHD Graphics P630
Xeon D-2187NT,Launched,Q1'18,16,3.00,2.00,22,N/A,N/A
Xeon D-2183IT,Launched,Q1'18,16,3.00,2.20,22,N/A,N/A
Xeon D-2177NT,Launched,Q1'18,14,3.00,1.90,19,N/A,N/A
Xeon D-2173IT,Launched,Q1'18,14,3.00,1.70,19,N/A,N/A
Xeon D-2166NT,Launched,Q1'18,12,3.00,2.00,17,N/A,N/A
Xeon D-2163IT,Launched,Q1'18,12,3.00,2.10,17,N/A,N/A
Xeon D-2161I,Launched,Q1'18,12,3.00,2.20,16.5,L2 Cache,N/A
Xeon D-2146IT,Launched,Q1'18,8,3.00,2.30,11,N/A,N/A
